file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,id
audio.wav,0 days 00:00:00,0 days 00:00:00.020000,0.0016110201,-5.1463733,8.346042,0.08460745,0.016356332,7.737416e-05,2.2217581,6.03404,2.2558157,5.5010715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0,audio1
audio.wav,0 days 00:00:00.010022676,0 days 00:00:00.030022676,0.0045706015,-5.978746,13.015266,0.039238673,0.017958196,0.00022927039,1.3222888,4.613583,4.493599,10.870931,0.0,0.0,0.0,0.0,0.0,0.0,560.02515,1097.2047,-201.0,1473.7688,2100.0178,-201.0,2095.541,858.5829,-201.0,audio1
audio.wav,0 days 00:00:00.020045351,0 days 00:00:00.040045351,0.033491623,-6.033094,13.98577,0.00565586,0.008462475,0.0047195633,3.7070243,3.8936656,9.414619,7.635142,0.0,0.0,0.0,0.0,0.0,0.0,540.4443,1768.7393,-201.0,1512.2716,1633.0953,-201.0,2374.5742,778.52655,-201.0,audio1
audio.wav,0 days 00:00:00.030068027,0 days 00:00:00.050068027,0.44787478,-2.8986635,9.2567835,0.01266929,-0.00056034076,0.3233759,6.8267846,-3.7371228,8.771706,-3.8021371,0.0,0.0,0.0,0.0,0.0,0.0,543.3086,1703.1592,-201.0,1542.7303,1657.5337,-201.0,2433.473,809.2325,-201.0,audio1
audio.wav,0 days 00:00:00.040090703,0 days 00:00:00.060090703,0.91801214,-5.7068295,10.978894,0.007679772,-0.016708946,0.7260557,15.031949,-0.99218875,9.88108,-11.671783,0.0,0.0,0.0,0.0,0.0,0.0,446.1504,1872.819,-201.0,1456.7505,1003.9294,-201.0,2577.6692,703.0786,-201.0,audio1
audio.wav,0 days 00:00:00.050113379,0 days 00:00:00.070113379,1.2449911,-10.476116,18.75591,-0.013517416,-0.02240161,1.0801653,21.761938,-0.18217798,8.6275,-11.687329,0.0,0.0,0.0,0.0,0.0,0.0,421.67105,1244.0006,-201.0,1368.8922,1147.4878,-201.0,2393.4495,766.24164,-201.0,audio1
audio.wav,0 days 00:00:00.060136054,0 days 00:00:00.080136054,1.5167764,-10.111299,19.203722,-0.039515957,-0.0216449,1.2258877,24.343271,-6.5359306,15.7365265,-12.974896,0.0,0.0,0.0,0.0,0.0,0.0,453.17966,1132.0623,-140.28627,1384.9003,1097.1248,-143.00713,2356.444,791.4179,-143.64072,audio1
audio.wav,0 days 00:00:00.070158730,0 days 00:00:00.090158730,1.7486616,-10.6333,20.659544,-0.057783633,-0.021093003,1.7460963,27.090973,-12.645024,21.106974,-16.355906,18.511383,0.0,0.0,-2.8260458,6.6268215,19.766132,461.17935,1032.4604,-81.14144,1421.1791,945.9158,-86.53448,2406.2537,851.57074,-88.43063,audio1
audio.wav,0 days 00:00:00.080181406,0 days 00:00:00.100181406,1.9074723,-9.840196,19.479097,-0.06281466,-0.015740326,2.2714274,26.700754,-13.657554,26.031286,-14.816205,18.4001,0.0,0.0,-3.4305992,5.163198,19.245998,377.79965,1246.3705,-19.48186,1402.3165,959.012,-30.241297,2373.2937,937.368,-32.83962,audio1
audio.wav,0 days 00:00:00.090204082,0 days 00:00:00.110204082,1.5823464,-15.625928,26.067322,-0.068502754,-0.0106051,2.7952425,27.871721,-3.594003,26.255135,-5.1686206,17.326618,0.0,2.7357547,-4.236663,4.6930165,20.077108,601.3527,1358.716,-23.081244,1612.3125,987.1613,-31.71537,2662.9807,902.3698,-34.866154,audio1
audio.wav,0 days 00:00:00.100226757,0 days 00:00:00.120226757,1.1841359,-19.345541,29.8346,-0.08011179,-0.0075704437,2.0920331,26.49352,1.7774979,27.04096,3.8876083,16.121113,0.0,2.7357547,-7.5428715,6.012854,19.873732,483.66312,1595.6656,-17.89607,1551.6952,1011.5257,-30.830421,2622.005,818.27997,-32.97598,audio1
